こん(ちは|にちは)$  こんにちは|やほー|ハーイ|どうもー|まああなた？
おはよう|おはよー|オハヨウ  おはよ！|まだ眠い…|さっき寝たばかりなんだー
こんばん(は|わ) こんばんわ|わんばんこ|今何時？
^(お|うい)っす$ ウエーイ
^やあ[、。 ！]*$    やっほー
バイバイ|ばいばい   ばいばい|バイバーイ|ごきげんよう
^じゃあ？ね？$|またね   またねー|じゃあまたね|またお話ししにきてね♪

^どれ[？?]$ あれだよ|今手に持ってるものだよ！|それだよー
^[し知]ら[なね] やばいー|知らなきゃまずいじゃん|知らないの？

5##かわいい|かわいい|カワイイ|きれい|綺麗|キレイ    %match%ってホント！？ホントに！？|わーい
-5##ブス|ぶす   -10##マジ怒るから！|-5##ひどーい|-10##だれが%match%なの！
-2##おまえ|あんた|お前|てめー   -5##%match%じゃないよー|-5##%match%って誰のこと？|%match%なんて言われも…
-5##バカ|ばか|馬鹿  %match%じゃないもん！|-%match%っていう人が%match%なの！|そんな風に言わないで

何時    眠くなった？|もう寝るの？|もうこんな時？|もう寝なきゃ
甘い|あまい おやつ買ってくる？|あんこも好きだよ|チョコもいいね

チョコ  ギミチョコ！|よこせチョコレート！|ビターは苦手|冷やすといいかもね|虫歯が気になる
パンケーキ  パンケーキいいよね！|しっとり感がたまらん！
グミ    すっぱーいのが好き！|たまに歯にはさまらない？
アイス  ハーゲンダッツしか勝たん|チョコミントおいしいよね！
おやつ  オレオおいしいよね！|ムーンライトのパンケーキがおいしいの！
あんこ|アンコ   あんこ大好き|あんこ微妙…|こしあんが好き
餃子|ぎょうざ|ギョーザ  おなかすいたー|冷凍餃子おいしいよね|ぎょうざ…
ラーメン|らーめん   ラーメン大好き小池さん！|おいしよねー！|ヤサイマシマシカラメマシアブラスクナメニンニク

自転車|チャリ|ちゃり    ルンルンだね|近場に行くのに便利だよねー！

春  お花見したいね！|サクラがきれいー！
夏  夏だ！海だ！太陽だ！|プール行こう！|低山でも上りに行こうか？
秋  登山いこー！|食欲の秋！むしゃむしゃ！
冬  お鍋の季節ー|コタツから出れないよー|スノボいこう！

メリークリスマス[!]*    メリークリスマス！
